id,name,explanation,broader_concept,strand,source
d7536fca-2b50-4221-bb50-f4899a6ff761,Pythagorean trigonometric identity,The fundamental identity cos²A + sin²A = 1 relating the squares of sine and cosine of the same angle.,Algebraic Concepts,Trigonometry,7_Leaving Cert Maths-Trig_Formulae.pdf
5ea034a5-e238-4452-bdac-c5d1346711a1,Sine rule for triangles,The formula relating the sides and angles of a triangle: a/sin A = b/sin B = c/sin C.,Algebraic Concepts,Trigonometry,7_Leaving Cert Maths-Trig_Formulae.pdf
fe3c47a0-a628-40cd-a0fe-664539c289cc,Cosine rule for triangles,The formula a² = b² + c² – 2bc cos A relating the lengths of sides of a triangle to the cosine of one angle.,Algebraic Concepts,Trigonometry,7_Leaving Cert Maths-Trig_Formulae.pdf
a1d3c5e5-ef56-4744-ad18-690c0ee27240,Cosine of difference formula,The formula cos(A–B) = cos A cos B + sin A sin B expressing cosine of a difference of angles in terms of sines and cosines.,Algebraic Concepts,Trigonometric identities,7_Leaving Cert Maths-Trig_Formulae.pdf
71ea3891-66ba-4b2b-a454-56b4a969dae9,Cosine of sum formula,The formula cos(A+B) = cos A cos B – sin A sin B expressing cosine of a sum of angles in terms of sines and cosines.,Algebraic Concepts,Trigonometric identities,7_Leaving Cert Maths-Trig_Formulae.pdf
cea0023e-cc29-46e5-8899-59ac3a9207f5,Double angle formula for cosine,The formula cos 2A = cos² A – sin² A expressing cosine of double an angle in terms of squares of sine and cosine.,Algebraic Concepts,Trigonometric identities,7_Leaving Cert Maths-Trig_Formulae.pdf
63d018f2-0594-4e6e-9fc6-fe2354470236,Sine of sum formula,The formula sin(A+B) = sin A cos B + cos A sin B expressing sine of a sum of angles in terms of sines and cosines.,Algebraic Concepts,Trigonometric identities,7_Leaving Cert Maths-Trig_Formulae.pdf
b70c0a42-66b5-4e24-8cce-c78510c933f3,Sine of difference formula,The formula sin(A–B) = sin A cos B – cos A sin B expressing sine of a difference of angles in terms of sines and cosines.,Algebraic Concepts,Trigonometric identities,7_Leaving Cert Maths-Trig_Formulae.pdf
7a0b0c7b-7ec6-491c-b713-41b71b8e1fa8,Tangent of sum formula,The formula tan(A+B) = (tan A + tan B) / (1 – tan A tan B) expressing tangent of a sum of angles in terms of tangents.,Algebraic Concepts,Trigonometric identities,7_Leaving Cert Maths-Trig_Formulae.pdf
82d86dcd-3d22-47fc-84fb-a03a57b5fcac,Tangent of difference formula,The formula tan(A–B) = (tan A – tan B) / (1 + tan A tan B) expressing tangent of a difference of angles in terms of tangents.,Algebraic Concepts,Trigonometric identities,7_Leaving Cert Maths-Trig_Formulae.pdf
b29440d0-1684-4be0-adcd-c3b049613401,Double angle formula for sine,The formula sin 2A = 2 sin A cos A expressing sine of double an angle in terms of sine and cosine.,Algebraic Concepts,Trigonometric identities,7_Leaving Cert Maths-Trig_Formulae.pdf
8af37dde-dfc4-4e8a-abd6-576c8d7081f0,Alternative double angle formula for sine,The formula sin 2A = 2 tan A / (1 + tan² A) expressing sine of double an angle in terms of tangent.,Algebraic Concepts,Trigonometric identities,7_Leaving Cert Maths-Trig_Formulae.pdf
b45067eb-9152-437d-9368-83d17172aae0,Alternative double angle formula for cosine,The formula cos 2A = (1 – tan² A) / (1 + tan² A) expressing cosine of double an angle in terms of tangent.,Algebraic Concepts,Trigonometric identities,7_Leaving Cert Maths-Trig_Formulae.pdf
9d0a8f24-b52d-4062-9e7c-1c806f7a2434,Double angle formula for tangent,The formula tan 2A = 2 tan A / (1 – tan² A) expressing tangent of double an angle in terms of tangent.,Algebraic Concepts,Trigonometric identities,7_Leaving Cert Maths-Trig_Formulae.pdf
36534e7e-810e-4468-a0d1-ab63c6742634,Cosine squared in terms of cosine double angle,The formula cos² A = ½ (1 + cos 2A) expressing the square of cosine in terms of cosine of double angle.,Algebraic Concepts,Trigonometric identities,7_Leaving Cert Maths-Trig_Formulae.pdf
82b4ed3e-c6fb-4a74-b199-e8d6af6bc95e,Sine squared in terms of cosine double angle,The formula sin² A = ½ (1 – cos 2A) expressing the square of sine in terms of cosine of double angle.,Algebraic Concepts,Trigonometric identities,7_Leaving Cert Maths-Trig_Formulae.pdf
733cd25c-3c82-42e8-af21-bf6169a1ec0e,Product to sum formula: 2 cos A cos B,The formula 2 cos A cos B = cos(A+B) + cos(A–B) expressing product of cosines as sum of cosines.,Algebraic Concepts,Trigonometric identities,7_Leaving Cert Maths-Trig_Formulae.pdf
e0b24d2e-392f-4512-86ca-9787500e4e9b,Product to sum formula: 2 sin A cos B,The formula 2 sin A cos B = sin(A+B) + sin(A–B) expressing product of sine and cosine as sum of sines.,Algebraic Concepts,Trigonometric identities,7_Leaving Cert Maths-Trig_Formulae.pdf
95e578b7-cd6b-4aaf-b312-c1851894e8d5,Product to sum formula: 2 sin A sin B,The formula 2 sin A sin B = cos(A–B) – cos(A+B) expressing product of sines as difference of cosines.,Algebraic Concepts,Trigonometric identities,7_Leaving Cert Maths-Trig_Formulae.pdf
6580a5b8-23c6-4824-bfb0-8edfba667d0d,Product to sum formula: 2 cos A sin B,The formula 2 cos A sin B = sin(A+B) – sin(A–B) expressing product of cosine and sine as difference of sines.,Algebraic Concepts,Trigonometric identities,7_Leaving Cert Maths-Trig_Formulae.pdf
d5b50307-f23d-4214-bb48-5999060ad3c0,Sum to product formula: cos A + cos B,The formula cos A + cos B = 2 cos((A+B)/2) cos((A–B)/2) expressing sum of cosines as product of cosines.,Algebraic Concepts,Trigonometric identities,7_Leaving Cert Maths-Trig_Formulae.pdf
f4f5d2df-e994-4088-8a34-28428e23dd28,Sum to product formula: cos A – cos B,The formula cos A – cos B = –2 sin((A+B)/2) sin((A–B)/2) expressing difference of cosines as product of sines.,Algebraic Concepts,Trigonometric identities,7_Leaving Cert Maths-Trig_Formulae.pdf
f67f3d6b-bcbe-47f3-8077-c51dc050f71e,Sum to product formula: sin A + sin B,The formula sin A + sin B = 2 sin((A+B)/2) cos((A–B)/2) expressing sum of sines as product of sine and cosine.,Algebraic Concepts,Trigonometric identities,7_Leaving Cert Maths-Trig_Formulae.pdf
8fa64ea3-223f-4127-a11d-4dababd452b4,Sum to product formula: sin A – sin B,The formula sin A – sin B = 2 cos((A+B)/2) sin((A–B)/2) expressing difference of sines as product of cosine and sine.,Algebraic Concepts,Trigonometric identities,7_Leaving Cert Maths-Trig_Formulae.pdf
a446562b-92c2-4939-9c23-b67c95300dcf,Pythagorean Identity,"The fundamental trigonometric identity stating that the square of cosine of an angle plus the square of sine of the same angle equals one, i.e., cos²A + sin²A = 1.",Geometric Concepts,Trigonometry,7_Leaving Cert Maths-Trig_Formulae.pdf
9df521f4-8272-4159-aad9-03aad8d2c822,Sine Rule,"A formula relating the lengths of sides of a triangle to the sines of its opposite angles, expressed as a/sin A = b/sin B = c/sin C.",Geometric Concepts,Trigonometry,7_Leaving Cert Maths-Trig_Formulae.pdf
c1fcfbad-3e26-4e96-b671-2ce40c98b065,Cosine Rule,"A formula that relates the lengths of the sides of a triangle to the cosine of one of its angles, given by a² = b² + c² – 2bc cos A.",Geometric Concepts,Trigonometry,7_Leaving Cert Maths-Trig_Formulae.pdf
5a97b90d-23a5-4239-9d0a-e44dfa398c9e,Half-Angle Formula for Cosine Squared,The identity expressing cos²A as ½ (1 + cos 2A).,Geometric Concepts,Trigonometric Identities,7_Leaving Cert Maths-Trig_Formulae.pdf
6e9a6ef0-cccb-4faf-837c-25c336a87c0c,Half-Angle Formula for Sine Squared,The identity expressing sin²A as ½ (1 – cos 2A).,Geometric Concepts,Trigonometric Identities,7_Leaving Cert Maths-Trig_Formulae.pdf
a69fd654-da2d-4029-8785-f1f9914fca82,Product-to-Sum Formula: 2 cos A cos B,The identity expressing 2 cos A cos B as cos(A+B) + cos(A–B).,Geometric Concepts,Trigonometric Identities,7_Leaving Cert Maths-Trig_Formulae.pdf
faf3e911-b3b5-4667-878d-e5e60acc52bc,Product-to-Sum Formula: 2 sin A cos B,The identity expressing 2 sin A cos B as sin(A+B) + sin(A–B).,Geometric Concepts,Trigonometric Identities,7_Leaving Cert Maths-Trig_Formulae.pdf
84e01e9f-4c53-44c6-a1d4-aafd643da152,Product-to-Sum Formula: 2 sin A sin B,The identity expressing 2 sin A sin B as cos(A–B) – cos(A+B).,Geometric Concepts,Trigonometric Identities,7_Leaving Cert Maths-Trig_Formulae.pdf
750c6221-b896-4831-9d02-af80d62089ae,Product-to-Sum Formula: 2 cos A sin B,The identity expressing 2 cos A sin B as sin(A+B) – sin(A–B).,Geometric Concepts,Trigonometric Identities,7_Leaving Cert Maths-Trig_Formulae.pdf
dabe3a9e-8ef7-4441-a2f3-60a1f930ded9,Sum-to-Product Formula: cos A + cos B,The identity expressing cos A + cos B as 2 cos((A+B)/2) cos((A–B)/2).,Geometric Concepts,Trigonometric Identities,7_Leaving Cert Maths-Trig_Formulae.pdf
e9031571-6fb9-466c-bc41-746336ac812e,Sum-to-Product Formula: cos A – cos B,The identity expressing cos A – cos B as –2 sin((A+B)/2) sin((A–B)/2).,Geometric Concepts,Trigonometric Identities,7_Leaving Cert Maths-Trig_Formulae.pdf
87900dc0-88f9-429c-a9ef-e37611fc7c58,Sum-to-Product Formula: sin A + sin B,The identity expressing sin A + sin B as 2 sin((A+B)/2) cos((A–B)/2).,Geometric Concepts,Trigonometric Identities,7_Leaving Cert Maths-Trig_Formulae.pdf
