id,name,explanation,broader_concept,strand,source
39b22619-da33-4853-91b5-41a85db74da8,Pythagorean identity for sine and cosine,The fundamental trigonometric identity stating that the square of cosine plus the square of sine of an angle equals one.,Trigonometric identities,Trigonometry,7_Leaving Cert Maths-Trig_Formulae.pdf
a5355524-2fa8-4dfc-804b-8ebde71f80fd,Sine rule for triangle side ratios,A formula relating the ratios of sides of a triangle to the sines of their opposite angles.,Trigonometric ratios in triangles,Trigonometry,7_Leaving Cert Maths-Trig_Formulae.pdf
8010ddf4-5c83-49d4-ac3f-f12185620850,Cosine rule for triangle side lengths,"A formula that relates the lengths of sides of a triangle to the cosine of one of its angles, useful for finding unknown sides or angles.",Trigonometric ratios in triangles,Trigonometry,7_Leaving Cert Maths-Trig_Formulae.pdf
097cb42c-4c49-4165-8239-15b48eb58f05,Cosine of angle difference formula,An identity expressing the cosine of the difference between two angles in terms of the cosines and sines of the individual angles.,Angle addition and subtraction formulas,Trigonometry,7_Leaving Cert Maths-Trig_Formulae.pdf
3688833b-c7de-4c0b-9888-6f2394081c36,Cosine of angle sum formula,An identity expressing the cosine of the sum of two angles in terms of the cosines and sines of the individual angles.,Angle addition and subtraction formulas,Trigonometry,7_Leaving Cert Maths-Trig_Formulae.pdf
f6429b2f-66ea-432e-ab47-e492b52af3c2,Double angle formula for cosine (cos 2A),An identity expressing the cosine of twice an angle as the difference of the squares of cosine and sine of the angle.,Double angle formulas,Trigonometry,7_Leaving Cert Maths-Trig_Formulae.pdf
3a27c8ea-e142-4d15-a239-8e827b5dd4f8,Sine of angle sum formula,An identity expressing the sine of the sum of two angles in terms of the sines and cosines of the individual angles.,Angle addition and subtraction formulas,Trigonometry,7_Leaving Cert Maths-Trig_Formulae.pdf
6d5c7afd-c666-4948-9ac2-229908fd6868,Sine of angle difference formula,An identity expressing the sine of the difference between two angles in terms of the sines and cosines of the individual angles.,Angle addition and subtraction formulas,Trigonometry,7_Leaving Cert Maths-Trig_Formulae.pdf
4a2d1702-374a-48c5-992d-3079f913d2f4,Tangent of angle sum formula,An identity expressing the tangent of the sum of two angles in terms of the tangents of the individual angles.,Angle addition and subtraction formulas for tangent,Trigonometry,7_Leaving Cert Maths-Trig_Formulae.pdf
e9bd786c-541c-4604-a2b6-e2db079c585e,Tangent of angle difference formula,An identity expressing the tangent of the difference between two angles in terms of the tangents of the individual angles.,Angle addition and subtraction formulas for tangent,Trigonometry,7_Leaving Cert Maths-Trig_Formulae.pdf
122779e8-e7c1-4f88-b7d3-11fb24494a16,Double angle formula for sine (sin 2A),An identity expressing the sine of twice an angle as twice the product of sine and cosine of the angle.,Double angle formulas,Trigonometry,7_Leaving Cert Maths-Trig_Formulae.pdf
6b0d52e2-0910-4543-b67a-df64660016f6,Double angle formula for tangent (tan 2A),An identity expressing the tangent of twice an angle in terms of the tangent of the angle.,Double angle formulas for tangent,Trigonometry,7_Leaving Cert Maths-Trig_Formulae.pdf
07cb91c8-0144-4370-a071-0f92ab41f348,Cosine squared in terms of cosine double angle,An identity expressing the square of cosine of an angle as half the sum of one and the cosine of twice the angle.,Power-reduction formulas,Trigonometry,7_Leaving Cert Maths-Trig_Formulae.pdf
7cf2213d-d9d5-4c24-b37a-590b6d48bbcf,Sine squared in terms of cosine double angle,An identity expressing the square of sine of an angle as half the difference of one and the cosine of twice the angle.,Power-reduction formulas,Trigonometry,7_Leaving Cert Maths-Trig_Formulae.pdf
56aa7868-7d61-454b-971e-158aa1f79743,Product-to-sum formula for 2 cos A cos B,An identity expressing twice the product of cosines of two angles as the sum of cosines of their sum and difference.,Product-to-sum formulas,Trigonometry,7_Leaving Cert Maths-Trig_Formulae.pdf
35a1bf20-e670-4b6f-869b-8d7b8d0837f2,Product-to-sum formula for 2 sin A cos B,An identity expressing twice the product of sine of one angle and cosine of another as the sum of sines of their sum and difference.,Product-to-sum formulas,Trigonometry,7_Leaving Cert Maths-Trig_Formulae.pdf
5e09c106-d7e7-4742-ad2b-3ae5b31fd06a,Product-to-sum formula for 2 sin A sin B,An identity expressing twice the product of sines of two angles as the difference of cosines of their difference and sum.,Product-to-sum formulas,Trigonometry,7_Leaving Cert Maths-Trig_Formulae.pdf
