id,name,explanation,broader_concept,strand,source
271a5989-0d56-4e04-b553-289a97fcb6a6,Pythagorean identity for sine and cosine,The fundamental trigonometric identity stating that the square of cosine of an angle plus the square of sine of the same angle equals one.,Trigonometric identities,Trigonometry,7_Leaving Cert Maths-Trig_Formulae.pdf
21e6ee18-9479-4df2-91ba-fa80ee8c795c,Sine rule for triangle side ratios,A formula relating the ratios of the lengths of sides of a triangle to the sines of their opposite angles.,Trigonometric rules for triangles,Trigonometry,7_Leaving Cert Maths-Trig_Formulae.pdf
0f682084-fe61-4a49-8cdb-35aa1ddf6cd7,Cosine rule for triangle side lengths,A formula expressing the square of one side of a triangle in terms of the squares of the other two sides and the cosine of the included angle.,Trigonometric rules for triangles,Trigonometry,7_Leaving Cert Maths-Trig_Formulae.pdf
0ad51fbe-6c5b-4503-9dfc-cb98a939849b,Cosine of difference of two angles,An identity expressing cosine of the difference between two angles as a combination of the cosines and sines of the individual angles.,Angle addition and subtraction formulas,Trigonometry,7_Leaving Cert Maths-Trig_Formulae.pdf
5885e65d-040c-40e5-bbc9-9885598648eb,Cosine of sum of two angles,An identity expressing cosine of the sum of two angles as a combination of the cosines and sines of the individual angles.,Angle addition and subtraction formulas,Trigonometry,7_Leaving Cert Maths-Trig_Formulae.pdf
e0c64590-a39a-4b4b-a1be-e631c0eb7d29,Double angle formula for cosine (cos 2A),Formulas expressing cosine of twice an angle in terms of squares of sine and cosine of the original angle.,Double angle formulas,Trigonometry,7_Leaving Cert Maths-Trig_Formulae.pdf
3d7890b1-86c9-4bda-848a-776a24af4b52,Sine of sum of two angles,An identity expressing sine of the sum of two angles as a combination of sines and cosines of the individual angles.,Angle addition and subtraction formulas,Trigonometry,7_Leaving Cert Maths-Trig_Formulae.pdf
2646457b-3e47-437b-9eda-97ebd6109de2,Sine of difference of two angles,An identity expressing sine of the difference between two angles as a combination of sines and cosines of the individual angles.,Angle addition and subtraction formulas,Trigonometry,7_Leaving Cert Maths-Trig_Formulae.pdf
84b12d74-7a06-452f-bce6-1369c2a5de4b,Tangent of sum of two angles,An identity expressing tangent of the sum of two angles as a ratio involving tangents of the individual angles.,Angle addition and subtraction formulas,Trigonometry,7_Leaving Cert Maths-Trig_Formulae.pdf
8b567d57-fbea-4921-959f-4918d796695b,Tangent of difference of two angles,An identity expressing tangent of the difference between two angles as a ratio involving tangents of the individual angles.,Angle addition and subtraction formulas,Trigonometry,7_Leaving Cert Maths-Trig_Formulae.pdf
09f93f1d-36d5-4a12-bd03-b64b45c807ff,Double angle formula for sine (sin 2A),A formula expressing sine of twice an angle as twice the product of sine and cosine of the original angle.,Double angle formulas,Trigonometry,7_Leaving Cert Maths-Trig_Formulae.pdf
