id,name,explanation,broader_concept,strand,source
cded9dc9-1595-460f-abf0-419c883d3b48,Pythagorean Identity,The identity stating that the square of the cosine of an angle plus the square of the sine of the same angle equals one.,Trigonometric Identities,Trigonometry,7_Leaving Cert Maths-Trig_Formulae.pdf
f983e4a0-12f9-4665-9370-4dc747b0ae63,Sine Formula,A formula used to relate the lengths of the sides of a triangle to the sine of one of its angles.,Law of Sines,Trigonometry,7_Leaving Cert Maths-Trig_Formulae.pdf
95f4a8a9-05c3-4dff-9fc2-d6681670a62f,Cosine Formula,"A formula that relates the lengths of the sides of a triangle to the cosine of one of its angles, often used to find a side or angle in a triangle.",Law of Cosines,Trigonometry,7_Leaving Cert Maths-Trig_Formulae.pdf
20e740a6-3b46-46bd-8afd-4578288355cc,Cosine of Angle Difference,A formula that expresses the cosine of the difference of two angles in terms of the cosines and sines of those angles.,Cosine Addition and Subtraction Formulas,Trigonometry,7_Leaving Cert Maths-Trig_Formulae.pdf
08ed7ac3-ab18-417a-ab63-923d21a6b845,Cosine of Angle Sum,A formula that expresses the cosine of the sum of two angles in terms of the cosines and sines of those angles.,Cosine Addition and Subtraction Formulas,Trigonometry,7_Leaving Cert Maths-Trig_Formulae.pdf
295477d5-8077-4c34-a5d3-b45dab2dbdfd,Double Angle Cosine Formula,A formula that expresses the cosine of double an angle in terms of the cosine and sine of the angle.,Double Angle Formulas,Trigonometry,7_Leaving Cert Maths-Trig_Formulae.pdf
69bd96a7-8936-4b54-a004-ef90bca55c42,Sine of Angle Sum,A formula that expresses the sine of the sum of two angles in terms of the sines and cosines of those angles.,Sine Addition and Subtraction Formulas,Trigonometry,7_Leaving Cert Maths-Trig_Formulae.pdf
27f4dbfa-8768-4b90-ae59-e97873def40d,Sine of Angle Difference,A formula that expresses the sine of the difference of two angles in terms of the sines and cosines of those angles.,Sine Addition and Subtraction Formulas,Trigonometry,7_Leaving Cert Maths-Trig_Formulae.pdf
f06d135e-6692-4292-a2c6-0ed0886b09d0,Tangent of Angle Sum,A formula that expresses the tangent of the sum of two angles in terms of the tangents of those angles.,Tangent Addition Formulas,Trigonometry,7_Leaving Cert Maths-Trig_Formulae.pdf
67705e29-fade-4220-92e5-f1030d3ac02c,Tangent of Angle Difference,A formula that expresses the tangent of the difference of two angles in terms of the tangents of those angles.,Tangent Subtraction Formulas,Trigonometry,7_Leaving Cert Maths-Trig_Formulae.pdf
002470a2-6c12-452b-aebf-9a6f9cb145d8,Double Angle Sine Formula,A formula that expresses the sine of double an angle in terms of the sine and cosine of the angle.,Double Angle Formulas,Trigonometry,7_Leaving Cert Maths-Trig_Formulae.pdf
83ed9b5d-ea69-479a-aff4-b161cdba1b44,Double Angle Tangent Formula,A formula that expresses the tangent of double an angle in terms of the tangent of the angle.,Double Angle Formulas,Trigonometry,7_Leaving Cert Maths-Trig_Formulae.pdf
9e7b927c-1105-40b1-9d27-39592c5e6f3c,Cosine Half-Angle Formula,A formula that expresses the cosine of half an angle in terms of the cosine of the angle.,Half-Angle Formulas,Trigonometry,7_Leaving Cert Maths-Trig_Formulae.pdf
591cbae8-68cc-4035-a3a6-ecb6cbf77d62,Sine Half-Angle Formula,A formula that expresses the sine of half an angle in terms of the cosine of the angle.,Half-Angle Formulas,Trigonometry,7_Leaving Cert Maths-Trig_Formulae.pdf
a1458633-d60f-4299-b279-6fea1195b1d0,Geometric Construction,"The process of creating geometric figures using only a straightedge and compass, often applied in real-life contexts.",Synthetic Geometry,Geometry,4_Curriculum csvs - Geometry&Trig.csv
