id,prerequisite_id,dependent_id,prerequisite_name,dependent_name,explanation,source
fa9caf20-ac55-4ae3-9e80-1ae339e1c7fc,cded9dc9-1595-460f-abf0-419c883d3b48,f983e4a0-12f9-4665-9370-4dc747b0ae63,Pythagorean Identity,Sine Formula,"The Sine Formula relates the sides of a triangle to the sine of an angle, which is based on the understanding of the Pythagorean Identity that connects sine and cosine values.",7_Leaving Cert Maths-Trig_Formulae.pdf
c4ac3e80-e42e-4b33-a951-34ad4466bfbe,cded9dc9-1595-460f-abf0-419c883d3b48,95f4a8a9-05c3-4dff-9fc2-d6681670a62f,Pythagorean Identity,Cosine Formula,"The Cosine Formula also relies on the relationship between sine and cosine, as established by the Pythagorean Identity.",7_Leaving Cert Maths-Trig_Formulae.pdf
4453ae47-e3b3-473c-95d2-603c5a35f60a,f983e4a0-12f9-4665-9370-4dc747b0ae63,69bd96a7-8936-4b54-a004-ef90bca55c42,Sine Formula,Sine of Angle Sum,The Sine of Angle Sum formula builds upon the Sine Formula by applying it to the sum of two angles.,7_Leaving Cert Maths-Trig_Formulae.pdf
6af82b5a-7db9-4cbd-ae19-022d3aef9c81,f983e4a0-12f9-4665-9370-4dc747b0ae63,27f4dbfa-8768-4b90-ae59-e97873def40d,Sine Formula,Sine of Angle Difference,"Similar to the Sine of Angle Sum, the Sine of Angle Difference formula extends the Sine Formula to the difference of two angles.",7_Leaving Cert Maths-Trig_Formulae.pdf
b39c5417-6bc7-4591-94af-95e6edaa0627,95f4a8a9-05c3-4dff-9fc2-d6681670a62f,08ed7ac3-ab18-417a-ab63-923d21a6b845,Cosine Formula,Cosine of Angle Sum,"The Cosine of Angle Sum formula is derived from the Cosine Formula, applying it to the sum of two angles.",7_Leaving Cert Maths-Trig_Formulae.pdf
84fe0f2b-7231-4c87-b7c1-3d83a6a7fdcd,95f4a8a9-05c3-4dff-9fc2-d6681670a62f,20e740a6-3b46-46bd-8afd-4578288355cc,Cosine Formula,Cosine of Angle Difference,The Cosine of Angle Difference formula similarly extends the Cosine Formula to the difference of two angles.,7_Leaving Cert Maths-Trig_Formulae.pdf
6f9438bf-0f95-4772-a4f4-6ea806c7a782,69bd96a7-8936-4b54-a004-ef90bca55c42,f06d135e-6692-4292-a2c6-0ed0886b09d0,Sine of Angle Sum,Tangent of Angle Sum,The Tangent of Angle Sum formula can be derived using the Sine of Angle Sum and Cosine of Angle Sum formulas.,7_Leaving Cert Maths-Trig_Formulae.pdf
c9b007cf-2b39-429a-bd25-adab314b99de,08ed7ac3-ab18-417a-ab63-923d21a6b845,295477d5-8077-4c34-a5d3-b45dab2dbdfd,Cosine of Angle Sum,Double Angle Cosine Formula,The Double Angle Cosine Formula is derived from the Cosine of Angle Sum formula by substituting the angle with double the original angle.,7_Leaving Cert Maths-Trig_Formulae.pdf
3039944a-d037-47d8-a332-2e228002abb6,69bd96a7-8936-4b54-a004-ef90bca55c42,002470a2-6c12-452b-aebf-9a6f9cb145d8,Sine of Angle Sum,Double Angle Sine Formula,The Double Angle Sine Formula is derived from the Sine of Angle Sum formula by substituting the angle with double the original angle.,7_Leaving Cert Maths-Trig_Formulae.pdf
8efc5ce0-ea3e-4003-8401-48d9f2aca012,cded9dc9-1595-460f-abf0-419c883d3b48,9e7b927c-1105-40b1-9d27-39592c5e6f3c,Pythagorean Identity,Cosine Half-Angle Formula,The Cosine Half-Angle Formula relies on the Pythagorean Identity to express cosine in terms of sine.,7_Leaving Cert Maths-Trig_Formulae.pdf
