id,name,explanation,broader_concept,strand,source
9bfb62c3-b3a8-4cf5-8ca4-77199c914684,Pythagorean trigonometric identity,"The fundamental identity stating that the square of cosine plus the square of sine of an angle equals one, i.e., cos²A + sin²A = 1.",Trigonometric identities,Trigonometry,7_Leaving Cert Maths-Trig_Formulae.pdf
ae3a213f-767b-4d0e-8c42-83e80ef980c0,Sine rule for triangles,"A formula relating the ratios of the lengths of sides of a triangle to the sines of their opposite angles, expressed as a/sin A = b/sin B = c/sin C.",Triangle side-angle relationships,Trigonometry,7_Leaving Cert Maths-Trig_Formulae.pdf
02773d4c-0758-449f-b87e-7208ea7c1212,Cosine rule for triangles,"A formula relating the lengths of sides of a triangle to the cosine of one of its angles, given by a² = b² + c² – 2bc cos A.",Triangle side-angle relationships,Trigonometry,7_Leaving Cert Maths-Trig_Formulae.pdf
20ce0182-5049-4cfd-9093-80829fa301f7,Cosine of difference of angles formula,An identity expressing cos(A–B) as cos A cos B plus sin A sin B.,Angle sum and difference identities,Trigonometry,7_Leaving Cert Maths-Trig_Formulae.pdf
ba41cdcf-8c27-4482-a9fc-e711623efeb2,Cosine of sum of angles formula,An identity expressing cos(A+B) as cos A cos B minus sin A sin B.,Angle sum and difference identities,Trigonometry,7_Leaving Cert Maths-Trig_Formulae.pdf
fffd8a78-9a9a-4dd3-939f-abb886442a86,Double angle formula for cosine (cos 2A),An identity expressing cos 2A as cos² A minus sin² A.,Double angle identities,Trigonometry,7_Leaving Cert Maths-Trig_Formulae.pdf
364ca2b9-e6de-4660-abba-646bf5dfdb7d,Sine of sum of angles formula,An identity expressing sin(A+B) as sin A cos B plus cos A sin B.,Angle sum and difference identities,Trigonometry,7_Leaving Cert Maths-Trig_Formulae.pdf
d3ee2e55-ff8a-4999-a14b-66e374a499aa,Sine of difference of angles formula,An identity expressing sin(A–B) as sin A cos B minus cos A sin B.,Angle sum and difference identities,Trigonometry,7_Leaving Cert Maths-Trig_Formulae.pdf
d61898f4-a980-45aa-b0c5-49f5bebab2e7,Tangent of sum of angles formula,An identity expressing tan(A+B) as (tan A + tan B) divided by (1 – tan A tan B).,Angle sum and difference identities,Trigonometry,7_Leaving Cert Maths-Trig_Formulae.pdf
37d64399-f128-463c-8273-69d82db72794,Tangent of difference of angles formula,An identity expressing tan(A–B) as (tan A – tan B) divided by (1 + tan A tan B).,Angle sum and difference identities,Trigonometry,7_Leaving Cert Maths-Trig_Formulae.pdf
