id,prerequisite_id,dependent_id,prerequisite_name,dependent_name,explanation,source
97389c7d-b06f-4ff6-8460-ef175ba43893,9bfb62c3-b3a8-4cf5-8ca4-77199c914684,fffd8a78-9a9a-4dd3-939f-abb886442a86,Pythagorean trigonometric identity,Double angle formula for cosine (cos 2A),"The double angle formula for cosine (cos 2A = cos² A – sin² A) directly uses the squares of sine and cosine, which are related by the Pythagorean identity.",7_Leaving Cert Maths-Trig_Formulae.pdf
e167bd18-4f5e-4a25-afe0-a72f74c6b69e,9bfb62c3-b3a8-4cf5-8ca4-77199c914684,c41d4b43-86cc-45a2-9d53-ea8cfcf29a43,Pythagorean trigonometric identity,Power-reduction formula for cosine squared,"The power-reduction formula for cosine squared expresses cos² A in terms of cos 2A, which is derived using the Pythagorean identity and double angle formulas.",7_Leaving Cert Maths-Trig_Formulae.pdf
f219a100-e781-4a87-af17-9982cace59f7,9bfb62c3-b3a8-4cf5-8ca4-77199c914684,ae35cd7f-c2b3-4783-a1ff-72710c5d4749,Pythagorean trigonometric identity,Power-reduction formula for sine squared,"The power-reduction formula for sine squared expresses sin² A in terms of cos 2A, relying on the Pythagorean identity and double angle formulas.",7_Leaving Cert Maths-Trig_Formulae.pdf
85e926a4-8d70-44ed-8737-7e6513d00442,20ce0182-5049-4cfd-9093-80829fa301f7,f2454cc6-0f66-4fca-9e51-475db679cbaf,Cosine of difference of angles formula,Product-to-sum formula for 2 cos A cos B,The product-to-sum formula for 2 cos A cos B is derived by adding the cosine of sum and difference formulas.,7_Leaving Cert Maths-Trig_Formulae.pdf
49543803-52b5-4975-be4f-0e4c5bf6d963,ba41cdcf-8c27-4482-a9fc-e711623efeb2,f2454cc6-0f66-4fca-9e51-475db679cbaf,Cosine of sum of angles formula,Product-to-sum formula for 2 cos A cos B,The product-to-sum formula for 2 cos A cos B uses both cosine sum and difference formulas to express the product as a sum.,7_Leaving Cert Maths-Trig_Formulae.pdf
3d9a022c-ec38-4c78-a422-ddb10ff77a7a,364ca2b9-e6de-4660-abba-646bf5dfdb7d,f59ac6ce-5b30-4cc6-b552-1abb0f3902d5,Sine of sum of angles formula,Product-to-sum formula for 2 sin A cos B,The product-to-sum formula for 2 sin A cos B is derived by adding the sine of sum and difference formulas.,7_Leaving Cert Maths-Trig_Formulae.pdf
d048de4e-69dc-4228-87be-8c2933ddad4a,d3ee2e55-ff8a-4999-a14b-66e374a499aa,f59ac6ce-5b30-4cc6-b552-1abb0f3902d5,Sine of difference of angles formula,Product-to-sum formula for 2 sin A cos B,The product-to-sum formula for 2 sin A cos B uses both sine sum and difference formulas to express the product as a sum.,7_Leaving Cert Maths-Trig_Formulae.pdf
8b153aa7-08fd-42b4-b2ed-d58fcb49e336,20ce0182-5049-4cfd-9093-80829fa301f7,f027b705-800a-4469-a9e9-580fcda2421c,Cosine of difference of angles formula,Product-to-sum formula for 2 sin A sin B,The product-to-sum formula for 2 sin A sin B is derived by subtracting the cosine of sum formula from the cosine of difference formula.,7_Leaving Cert Maths-Trig_Formulae.pdf
79bb927d-7c8b-416e-85d0-c53fa3ac1761,ba41cdcf-8c27-4482-a9fc-e711623efeb2,f027b705-800a-4469-a9e9-580fcda2421c,Cosine of sum of angles formula,Product-to-sum formula for 2 sin A sin B,The product-to-sum formula for 2 sin A sin B uses both cosine sum and difference formulas to express the product as a difference.,7_Leaving Cert Maths-Trig_Formulae.pdf
7a11b9c9-f358-4301-973e-df8561504b28,364ca2b9-e6de-4660-abba-646bf5dfdb7d,86469948-9d4d-425e-88ee-87860ff70722,Sine of sum of angles formula,Product-to-sum formula for 2 cos A sin B,The product-to-sum formula for 2 cos A sin B is derived by subtracting the sine of difference formula from the sine of sum formula.,7_Leaving Cert Maths-Trig_Formulae.pdf
