cycle_id,cycle_length,prerequisite_id,dependent_id,prerequisite_name,dependent_name,explanation,source
1,3,07cb91c8-0144-4370-a071-0f92ab41f348,7cf2213d-d9d5-4c24-b37a-590b6d48bbcf,Cosine squared in terms of cosine double angle,Sine squared in terms of cosine double angle,"The expression for sine squared in terms of cosine double angle relies on the expression for cosine squared, as it uses the Pythagorean identity to relate the two.",AI_node_analysis_20250707_012609
1,3,7cf2213d-d9d5-4c24-b37a-590b6d48bbcf,07cb91c8-0144-4370-a071-0f92ab41f348,Sine squared in terms of cosine double angle,Cosine squared in terms of cosine double angle,"Understanding sine squared in terms of cosine double angle requires knowledge of how cosine squared is expressed in relation to cosine double angle, as both concepts are interconnected through the Pythagorean identity.",AI_node_analysis_20250707_012609
2,4,8010ddf4-5c83-49d4-ac3f-f12185620850,d32a4c15-1c5b-49f4-b32d-949431fc3b7b,Cosine rule for triangle side lengths,solving trigonometric problems in three dimensions,Solving 3D problems uses the cosine rule to find unknown sides and angles in spatial triangles.,8_Texts and Tests 4 Index.pdf
2,4,d32a4c15-1c5b-49f4-b32d-949431fc3b7b,88d476f7-04c2-41ae-8390-49b8c8ee96d3,solving trigonometric problems in three dimensions,use of trigonometric ratios in right-angled triangles,"Solving 3D trigonometric problems often involves decomposing three-dimensional figures into right triangles, making the understanding of trigonometric ratios in right triangles a prerequisite.",AI_node_analysis_20250707_013035
2,4,88d476f7-04c2-41ae-8390-49b8c8ee96d3,8010ddf4-5c83-49d4-ac3f-f12185620850,use of trigonometric ratios in right-angled triangles,Cosine rule for triangle side lengths,The cosine rule generalizes trigonometric calculations to any triangle using side lengths and included angles.,9_Texts and Tests 4 Content Manual Redact_Examples_Exercises copy_extracted.txt
3,3,d32a4c15-1c5b-49f4-b32d-949431fc3b7b,88d476f7-04c2-41ae-8390-49b8c8ee96d3,solving trigonometric problems in three dimensions,use of trigonometric ratios in right-angled triangles,"Solving 3D trigonometric problems often involves decomposing three-dimensional figures into right triangles, making the understanding of trigonometric ratios in right triangles a prerequisite.",AI_node_analysis_20250707_013035
3,3,88d476f7-04c2-41ae-8390-49b8c8ee96d3,d32a4c15-1c5b-49f4-b32d-949431fc3b7b,use of trigonometric ratios in right-angled triangles,solving trigonometric problems in three dimensions,The foundational knowledge of trigonometric ratios in right triangles is necessary for tackling more complex problems in three dimensions that rely on these basic principles.,AI_node_analysis_20250707_013035
4,3,8010ddf4-5c83-49d4-ac3f-f12185620850,3e8ad8e3-951d-4392-8663-48454c248266,Cosine rule for triangle side lengths,investigation and proof of theorems related to ratios,"The cosine rule serves as a specific example of how ratios apply in triangle geometry, thus reinforcing the principles involved in the investigation and proof of theorems related to ratios.",AI_node_analysis_20250707_013143
4,3,3e8ad8e3-951d-4392-8663-48454c248266,8010ddf4-5c83-49d4-ac3f-f12185620850,investigation and proof of theorems related to ratios,Cosine rule for triangle side lengths,"The cosine rule involves ratios of triangle sides and angles, making the investigation and proof of theorems related to ratios foundational for understanding and applying the cosine rule.",AI_node_analysis_20250707_013143
5,3,8010ddf4-5c83-49d4-ac3f-f12185620850,8e1a7739-743c-4169-9f24-b4f11776c26c,Cosine rule for triangle side lengths,"triangle similarity criteria (AA, SAS proportionality, SSS proportionality)","The cosine rule is often used in conjunction with triangle similarity criteria to solve for unknown sides or angles, indicating that understanding similarity is foundational for applying the cosine rule.",AI_node_analysis_20250707_033312
5,3,8e1a7739-743c-4169-9f24-b4f11776c26c,8010ddf4-5c83-49d4-ac3f-f12185620850,"triangle similarity criteria (AA, SAS proportionality, SSS proportionality)",Cosine rule for triangle side lengths,"The cosine rule can be derived and understood better when one is familiar with triangle similarity criteria, as it relates to the proportionality of sides in similar triangles.",AI_node_analysis_20250707_033312
6,5,39b22619-da33-4853-91b5-41a85db74da8,f6429b2f-66ea-432e-ab47-e492b52af3c2,Pythagorean identity for sine and cosine,Double angle formula for cosine (cos 2A),"The double angle formula for cosine (cos 2A = cos²A – sin²A) directly uses the squares of sine and cosine, which are related by the Pythagorean identity.",7_Leaving Cert Maths-Trig_Formulae.pdf
6,5,f6429b2f-66ea-432e-ab47-e492b52af3c2,8010ddf4-5c83-49d4-ac3f-f12185620850,Double angle formula for cosine (cos 2A),Cosine rule for triangle side lengths,"The double angle formula can be used in conjunction with the cosine rule to simplify calculations involving angles in triangles, indicating a prerequisite relationship.",AI_node_analysis_20250707_012452
6,5,8010ddf4-5c83-49d4-ac3f-f12185620850,7cc0536e-738c-4762-b5c9-ae81ed82cbef,Cosine rule for triangle side lengths,Pythagorean theorem,"The cosine rule can be derived from the Pythagorean theorem, making it essential to understand the theorem to grasp the cosine rule's application in non-right triangles.",AI_node_analysis_20250707_033322
6,5,7cc0536e-738c-4762-b5c9-ae81ed82cbef,39b22619-da33-4853-91b5-41a85db74da8,Pythagorean theorem,Pythagorean identity for sine and cosine,"The Pythagorean theorem provides the foundational understanding of the relationship between the sides of a right triangle, which is essential for deriving the Pythagorean identity in trigonometry that relates sine and cosine.",AI_node_analysis_20250707_033322
