id,prerequisite_id,dependent_id,prerequisite_name,dependent_name,explanation,source
40a24ffb-22e2-48fc-9cf3-bd0c2d711851,39b22619-da33-4853-91b5-41a85db74da8,f6429b2f-66ea-432e-ab47-e492b52af3c2,Pythagorean identity for sine and cosine,Double angle formula for cosine (cos 2A),"The double angle formula for cosine (cos 2A = cos²A – sin²A) directly uses the squares of sine and cosine, which are related by the Pythagorean identity.",7_Leaving Cert Maths-Trig_Formulae.pdf
486dcbc3-d781-438a-8168-1650e28bdc0c,39b22619-da33-4853-91b5-41a85db74da8,07cb91c8-0144-4370-a071-0f92ab41f348,Pythagorean identity for sine and cosine,Cosine squared in terms of cosine double angle,Expressing cos²A in terms of cos 2A relies on the Pythagorean identity to relate sine squared and cosine squared.,7_Leaving Cert Maths-Trig_Formulae.pdf
0469594c-0c5c-4926-a88c-c2092251228e,39b22619-da33-4853-91b5-41a85db74da8,7cf2213d-d9d5-4c24-b37a-590b6d48bbcf,Pythagorean identity for sine and cosine,Sine squared in terms of cosine double angle,Expressing sin²A in terms of cos 2A uses the Pythagorean identity to connect sine squared and cosine squared.,7_Leaving Cert Maths-Trig_Formulae.pdf
88eeeb4e-d2ad-4ab3-a2ca-b2b1491ce412,3688833b-c7de-4c0b-9888-6f2394081c36,097cb42c-4c49-4165-8239-15b48eb58f05,Cosine of angle sum formula,Cosine of angle difference formula,"The cosine of angle difference formula is similar in form to the cosine of angle sum formula and can be derived using similar reasoning; the text lists the difference formula after the sum formula, implying the sum formula is foundational.",7_Leaving Cert Maths-Trig_Formulae.pdf
7826c246-5045-4f6e-9658-4162decbca0d,3a27c8ea-e142-4d15-a239-8e827b5dd4f8,6d5c7afd-c666-4948-9ac2-229908fd6868,Sine of angle sum formula,Sine of angle difference formula,"The sine of angle difference formula is closely related to the sine of angle sum formula and is listed after it, indicating the sum formula is a prerequisite.",7_Leaving Cert Maths-Trig_Formulae.pdf
82cb939e-328d-4106-a42d-bfba7e95f4ea,3688833b-c7de-4c0b-9888-6f2394081c36,f6429b2f-66ea-432e-ab47-e492b52af3c2,Cosine of angle sum formula,Double angle formula for cosine (cos 2A),"The double angle formula for cosine can be derived by applying the cosine of angle sum formula with equal angles (A + A), so understanding the sum formula is necessary.",7_Leaving Cert Maths-Trig_Formulae.pdf
691e42d5-7d48-4a65-b0ac-b5cb04dda0eb,3a27c8ea-e142-4d15-a239-8e827b5dd4f8,122779e8-e7c1-4f88-b7d3-11fb24494a16,Sine of angle sum formula,Double angle formula for sine (sin 2A),"The double angle formula for sine is derived by applying the sine of angle sum formula with equal angles (A + A), so the sum formula is a prerequisite.",7_Leaving Cert Maths-Trig_Formulae.pdf
1c9a73aa-3128-42f9-90ae-4a94a25cbb6a,4a2d1702-374a-48c5-992d-3079f913d2f4,e9bd786c-541c-4604-a2b6-e2db079c585e,Tangent of angle sum formula,Tangent of angle difference formula,"The tangent of angle difference formula is listed after the sum formula and is closely related, implying the sum formula is foundational for understanding the difference formula.",7_Leaving Cert Maths-Trig_Formulae.pdf
6f81d69a-f779-4be3-9346-1459579291bc,4a2d1702-374a-48c5-992d-3079f913d2f4,6b0d52e2-0910-4543-b67a-df64660016f6,Tangent of angle sum formula,Double angle formula for tangent (tan 2A),"The double angle formula for tangent can be derived by applying the tangent of angle sum formula with equal angles (A + A), so the sum formula is a prerequisite.",7_Leaving Cert Maths-Trig_Formulae.pdf
fd9fc036-90d0-4963-8697-216ccc388d2f,3688833b-c7de-4c0b-9888-6f2394081c36,56aa7868-7d61-454b-971e-158aa1f79743,Cosine of angle sum formula,Product-to-sum formula for 2 cos A cos B,"The product-to-sum formula for 2 cos A cos B is expressed in terms of cos(A+B) and cos(A–B), so understanding the cosine sum formula is necessary.",7_Leaving Cert Maths-Trig_Formulae.pdf
