id,prerequisite_id,dependent_id,prerequisite_name,dependent_name,explanation,source
441a048e-99e0-4698-8fe2-92a997f163db,271a5989-0d56-4e04-b553-289a97fcb6a6,e0c64590-a39a-4b4b-a1be-e631c0eb7d29,Pythagorean identity for sine and cosine,Double angle formula for cosine (cos 2A),"The double angle formula for cosine (cos 2A) is expressed in terms of squares of sine and cosine of the original angle, which relies on the Pythagorean identity cos²A + sin²A = 1 to relate these squares.",7_Leaving Cert Maths-Trig_Formulae.pdf
09c6f052-dffc-4e84-9c79-265d54e56d64,271a5989-0d56-4e04-b553-289a97fcb6a6,f7c16412-e6f6-4a34-aed3-d0c52af346b5,Pythagorean identity for sine and cosine,Half-angle formula for cosine squared,"The half-angle formula for cosine squared expresses cos²A in terms of cos 2A, which is derived using the double angle formula that depends on the Pythagorean identity.",7_Leaving Cert Maths-Trig_Formulae.pdf
46a0ba94-530b-4ce6-ba64-e0f2098d7e54,271a5989-0d56-4e04-b553-289a97fcb6a6,0fc15ec4-ebaa-4d5a-985e-3a82b4e11677,Pythagorean identity for sine and cosine,Half-angle formula for sine squared,"The half-angle formula for sine squared expresses sin²A in terms of cos 2A, which is derived using the double angle formula that depends on the Pythagorean identity.",7_Leaving Cert Maths-Trig_Formulae.pdf
66f989a0-7437-4c74-a939-97984b7602bf,5885e65d-040c-40e5-bbc9-9885598648eb,2fb185c3-1604-46a9-b47c-e75d56f4a66c,Cosine of sum of two angles,Product-to-sum formula for 2 cos A cos B,The product-to-sum formula for 2 cos A cos B is derived using the cosine of sum and difference of two angles identities.,7_Leaving Cert Maths-Trig_Formulae.pdf
8ce5f700-b14c-4e1d-9c72-ea2c2ef1995c,0ad51fbe-6c5b-4503-9dfc-cb98a939849b,2fb185c3-1604-46a9-b47c-e75d56f4a66c,Cosine of difference of two angles,Product-to-sum formula for 2 cos A cos B,The product-to-sum formula for 2 cos A cos B uses both cosine of sum and cosine of difference identities.,7_Leaving Cert Maths-Trig_Formulae.pdf
5b1cdd09-ec6e-47c4-9d43-24dae7ab976e,3d7890b1-86c9-4bda-848a-776a24af4b52,12847625-b947-4c3e-bb0d-f1f973231011,Sine of sum of two angles,Product-to-sum formula for 2 sin A cos B,The product-to-sum formula for 2 sin A cos B is derived from the sine of sum and sine of difference identities.,7_Leaving Cert Maths-Trig_Formulae.pdf
b15d21bf-2b0c-40fd-a674-59310012d79a,2646457b-3e47-437b-9eda-97ebd6109de2,12847625-b947-4c3e-bb0d-f1f973231011,Sine of difference of two angles,Product-to-sum formula for 2 sin A cos B,The product-to-sum formula for 2 sin A cos B uses both sine of sum and sine of difference identities.,7_Leaving Cert Maths-Trig_Formulae.pdf
9fd1130b-d491-4b2d-b1df-70ff76ba8d0b,0ad51fbe-6c5b-4503-9dfc-cb98a939849b,525ad725-b245-498e-88c7-7fbc9f9676c8,Cosine of difference of two angles,Product-to-sum formula for 2 sin A sin B,The product-to-sum formula for 2 sin A sin B is derived using cosine of sum and difference identities.,7_Leaving Cert Maths-Trig_Formulae.pdf
b9180eca-a355-40c8-ab27-ca868cdea76e,5885e65d-040c-40e5-bbc9-9885598648eb,525ad725-b245-498e-88c7-7fbc9f9676c8,Cosine of sum of two angles,Product-to-sum formula for 2 sin A sin B,The product-to-sum formula for 2 sin A sin B uses both cosine of sum and cosine of difference identities.,7_Leaving Cert Maths-Trig_Formulae.pdf
e84ef501-6135-4154-baf7-0142e3efcd79,3d7890b1-86c9-4bda-848a-776a24af4b52,b6fa28fa-0d61-4aab-b49c-788519b6489a,Sine of sum of two angles,Product-to-sum formula for 2 cos A sin B,The product-to-sum formula for 2 cos A sin B is derived from sine of sum and sine of difference identities.,7_Leaving Cert Maths-Trig_Formulae.pdf
01a14bbf-0379-450b-b6af-3023bca16204,2646457b-3e47-437b-9eda-97ebd6109de2,b6fa28fa-0d61-4aab-b49c-788519b6489a,Sine of difference of two angles,Product-to-sum formula for 2 cos A sin B,The product-to-sum formula for 2 cos A sin B uses both sine of sum and sine of difference identities.,7_Leaving Cert Maths-Trig_Formulae.pdf
7f51a96b-306f-4cae-8e5c-fe9bff3287a8,5885e65d-040c-40e5-bbc9-9885598648eb,f90d8966-f534-49bc-bdf4-73968f6f00b3,Cosine of sum of two angles,Sum-to-product formula for cos A + cos B,The sum-to-product formula for cos A + cos B is derived using cosine of sum and difference identities.,7_Leaving Cert Maths-Trig_Formulae.pdf
6c65c215-3491-4f9a-a884-aa16d673fa43,0ad51fbe-6c5b-4503-9dfc-cb98a939849b,f90d8966-f534-49bc-bdf4-73968f6f00b3,Cosine of difference of two angles,Sum-to-product formula for cos A + cos B,The sum-to-product formula for cos A + cos B uses cosine of sum and difference identities.,7_Leaving Cert Maths-Trig_Formulae.pdf
5b99e38f-8934-4501-9056-ad63fceea8ad,5885e65d-040c-40e5-bbc9-9885598648eb,27741146-2f4c-4cd4-9161-b3bcac356332,Cosine of sum of two angles,Sum-to-product formula for cos A – cos B,The sum-to-product formula for cos A – cos B is derived using cosine of sum and difference identities.,7_Leaving Cert Maths-Trig_Formulae.pdf
affcd4c5-f281-4d09-a4d3-0530ebd1c7ac,0ad51fbe-6c5b-4503-9dfc-cb98a939849b,27741146-2f4c-4cd4-9161-b3bcac356332,Cosine of difference of two angles,Sum-to-product formula for cos A – cos B,The sum-to-product formula for cos A – cos B uses cosine of sum and difference identities.,7_Leaving Cert Maths-Trig_Formulae.pdf
eeedf360-db38-41a9-830b-16801e364f83,3d7890b1-86c9-4bda-848a-776a24af4b52,e95b98db-d483-4b19-896f-b2881a33121b,Sine of sum of two angles,Sum-to-product formula for sin A + sin B,The sum-to-product formula for sin A + sin B is derived using sine of sum and difference identities.,7_Leaving Cert Maths-Trig_Formulae.pdf
b04b0423-5901-4a5f-9d95-38aa85eee9ca,2646457b-3e47-437b-9eda-97ebd6109de2,e95b98db-d483-4b19-896f-b2881a33121b,Sine of difference of two angles,Sum-to-product formula for sin A + sin B,The sum-to-product formula for sin A + sin B uses sine of sum and difference identities.,7_Leaving Cert Maths-Trig_Formulae.pdf
85ae65e8-9191-4414-a5a7-9231cec21a1e,3d7890b1-86c9-4bda-848a-776a24af4b52,76fbcd64-a41d-40f6-9f53-e1bee50c7669,Sine of sum of two angles,Sum-to-product formula for sin A – sin B,The sum-to-product formula for sin A – sin B is derived using sine of sum and difference identities.,7_Leaving Cert Maths-Trig_Formulae.pdf
835d5f84-748e-4b7b-8e04-9174c0f200a0,2646457b-3e47-437b-9eda-97ebd6109de2,76fbcd64-a41d-40f6-9f53-e1bee50c7669,Sine of difference of two angles,Sum-to-product formula for sin A – sin B,The sum-to-product formula for sin A – sin B uses sine of sum and difference identities.,7_Leaving Cert Maths-Trig_Formulae.pdf
2d0a3b49-bb72-444f-b1ee-6d416ade7a88,21e6ee18-9479-4df2-91ba-fa80ee8c795c,0f682084-fe61-4a49-8cdb-35aa1ddf6cd7,Sine rule for triangle side ratios,Cosine rule for triangle side lengths,"The cosine rule is generally introduced after the sine rule as it extends understanding of triangle side relationships including angles, building on the sine rule's ratio concepts.",7_Leaving Cert Maths-Trig_Formulae.pdf
0e23c7cf-d72c-429f-b5d0-e92479f6d9a8,b4320da0-3e81-4c55-a81f-adde8b4f4d6b,5de0432d-1d24-48ad-8aab-4d89db5802e2,Definition of sine and cosine,Trigonometric ratios in right-angled triangles,"Understanding the definitions of sine and cosine is essential to applying trigonometric ratios in right-angled triangles, as these ratios are derived from the definitions.",4_Curriculum csvs - Geometry&Trig.csv
ac10ab34-252a-4763-aa42-5e23b8b96c99,9d7f6009-b26f-44b2-84c9-ae4e13edff6f,5de0432d-1d24-48ad-8aab-4d89db5802e2,Application of the Pythagorean theorem,Trigonometric ratios in right-angled triangles,"The application of the Pythagorean theorem is necessary for solving problems involving right-angled triangles, which is foundational for understanding trigonometric ratios.",4_Curriculum csvs - Geometry&Trig.csv
